# LOG-energy minimizing points, hierarchical order
# DIM = 9   (sphere S^8)
# components: H11, H22, H12, G1_11, G1_22, G1_12, G2_11, G2_22, G2_12
# the first N rows are themselves an optimized N-point set
#
# Active subspace is S^2; columns 4..9 are exact zeros.
-6.25658365840567887e-01 -7.43551348653038957e-01 +2.35972458498777654e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-8.77433082701530975e-01 -3.68242071748584143e-01 -3.07423099286958268e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+2.68142993236071769e-01 -6.33875457745408766e-01 +7.25466221988624760e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-4.35529645321960590e-01 +8.84386612384346904e-01 -1.67851862906153615e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+4.71084808534485422e-01 -7.73392027937927051e-01 -4.24197918771518578e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+4.45972654661041190e-01 +8.79799700964254638e-01 -1.64501907216274557e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-1.94202270261500692e-01 +1.37962837768630386e-01 +9.71211477290145009e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-7.26728424136457551e-01 +6.86237180145006453e-01 +3.07299550727144176e-02 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-9.97499567584478553e-01 -2.49624384896217286e-02 -6.61172393058737096e-02 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+8.05845330149549621e-01 -5.06785950162112031e-01 -3.06237333769820874e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+6.97875460027820305e-01 +5.00843505207197559e-01 +5.11982055918687617e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+1.20404933827713195e-01 +9.38537292530449485e-01 +3.23497144407114745e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-6.70753971743240807e-01 -2.17998153481858109e-01 +7.08918834895200134e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+9.24439759700402042e-01 +2.37329991595147283e-01 -2.98472118923209462e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-4.09321143508972807e-01 +7.78958138383945009e-02 +9.09059098003513366e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-5.36706115673975193e-01 +8.34220535216892323e-01 +1.26580583110504380e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
+2.00397356754331651e-01 -4.25179800741378899e-01 +8.82645476081647784e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
-4.52840686544483062e-01 -8.82791523954475021e-01 +1.24957744234029028e-01 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00 +0.00000000000000000e+00
